f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,label
0.0,0.0,0.0,-0.2857907100062274,-0.10216854035389962,-0.12686178992920863,-0.5448323189085683,-0.45204506239574305,-0.17268489665304196,-0.6609824129796548,-0.9156981962881021,-0.20541157727184958,-0.6461204358608345,-1.241908507194791,-0.20454315440727683,-0.4668594213835067,-0.8811225689232864,-0.015369053289076836,-0.5032773071950087,-1.1659784530932056,-0.11733162742535981,-0.4269610598100954,-0.8313736545075812,-0.1438255731102629,-0.3881425545635494,-0.642310473353388,-0.14243543089715752,-0.30595519642851715,-0.9520272461239231,0.005961578321768043,-0.35443455002750246,-1.252655996177714,-0.11557977302453043,-0.29134001435452805,-0.8303240075326765,-0.1262169770718659,-0.270682961888405,-0.6793013128063135,-0.09757641531934443,-0.14906983933012585,-0.9644653067650857,0.001270096863658965,-0.18609344824958496,-1.1899891276441488,-0.1340671283900884,-0.15294687683938332,-0.7867600739137324,-0.0883885321335394,-0.14408990446284664,-0.6242306882278418,-0.016644718378981696,0.015323309764863782,-0.9193199903744377,-0.013650983400207433,-0.026402205579253466,-1.123129943491669,-0.09597398360563617,-0.027298501691239097,-0.8377939098335954,-0.05972447732963217,-0.025036128443133687,-0.7000200640336444,-0.007349107372027991,A
0.0,0.0,0.0,-0.27749674980394506,-0.11584321345456543,-0.12104140348708675,-0.5291409145198058,-0.43972064261702387,-0.17073657837959055,-0.6531249876352949,-0.8771244459040235,-0.20864858962757216,-0.6316125483879439,-1.1940224277586178,-0.2131985509568782,-0.46192563975667605,-0.8857822924251345,-0.0185080084090435,-0.4997532166757372,-1.154205336764716,-0.12165417974516607,-0.42567446126657976,-0.8211105531116192,-0.15123078322876796,-0.3881371750881159,-0.6277183130662723,-0.15253283633313808,-0.3059602058227101,-0.952042650310475,-0.00177325766078782,-0.3518166659915883,-1.2382569757011437,-0.12689897465664257,-0.2922302518426073,-0.8094582728084198,-0.14136024339795192,-0.275611855115428,-0.6580943461379928,-0.11699585037601885,-0.15462196639135664,-0.9630452679167193,-0.009249055359709817,-0.19060679564523483,-1.1897809159281132,-0.14506872943076515,-0.16091883143374439,-0.7757922780099307,-0.0956406831203251,-0.15557364119042794,-0.611093432181657,-0.02322367814878629,-0.00029502916333893264,-0.9123760665862901,-0.026537367059826438,-0.041600358984142584,-1.1075918512151826,-0.10750196059895936,-0.04510878693837091,-0.8117157571588374,-0.06575359604526453,-0.0454896064924018,-0.675525008279369,-0.01045002535953121,A
0.0,0.0,0.0,-0.2708214956208906,-0.11215008325502485,-0.11950256686218222,-0.5254612534659402,-0.4555011196354878,-0.17094324386145354,-0.6522811540097897,-0.8918516669740677,-0.2120392303743955,-0.6247022305733954,-1.2131295978398549,-0.22055540575028262,-0.4567705575477339,-0.8884223426517984,-0.02887775213274004,-0.49876722741739066,-1.1730555044306155,-0.14136868063419766,-0.4213118335624359,-0.8328547229367342,-0.1770790023690978,-0.3780866021354891,-0.6258588800247442,-0.1817097635069425,-0.29996431811912183,-0.9538267814900816,-0.015358345210414933,-0.3485809389062282,-1.250138721596927,-0.14500339602396217,-0.28685057787359314,-0.8155680619611864,-0.15933036919367247,-0.26709922408810294,-0.6477744097142962,-0.13488039510545485,-0.14547188223956503,-0.9679899338359943,-0.026470882727500884,-0.18574896964610169,-1.2176330619340248,-0.1637214706223092,-0.1538742440916413,-0.7972839674600752,-0.1113405191825588,-0.14538760629786554,-0.6196802423469127,-0.03718081298633268,0.011116854608972224,-0.9218846856468974,-0.04796218815897004,-0.030364823652874087,-1.1308760264179607,-0.13242953275974723,-0.03365183770233346,-0.8339124617020166,-0.09150768078053391,-0.03277072516216979,-0.6907372250353524,-0.03656352009974143,A
0.0,0.0,0.0,-0.2704222984484051,-0.10896432222992082,-0.11445063514961618,-0.5205765944118009,-0.44775053586923536,-0.16117298413355552,-0.6441798301774532,-0.8817846743261523,-0.1986822006481828,-0.6213347503061768,-1.2023935904846774,-0.20456485720308068,-0.45669869360970333,-0.8880627570981007,-0.010391734321307047,-0.4985284590622331,-1.1678055766009388,-0.12074553332664428,-0.42333344873860157,-0.8398827984488814,-0.1587406404510846,-0.3831460603737112,-0.6325588622454582,-0.1631802492950091,-0.30257832609358853,-0.9531185443898498,0.00337593225287454,-0.3519762049510225,-1.2419932788879273,-0.12085409526027131,-0.2908862423634006,-0.8189367093146682,-0.13573426012756937,-0.2670114753581478,-0.6548673410940055,-0.11068737235843644,-0.15049122389853767,-0.9637818112842909,-0.008006969532229466,-0.1940414446227369,-1.2058586207218092,-0.1429917858517726,-0.16211766227654742,-0.795957354859391,-0.09449246660487688,-0.14833984667488045,-0.6145421969521957,-0.021515209285952065,0.008687068271577487,-0.9150994418999352,-0.029127127054204536,-0.03971966523062094,-1.1192135939041468,-0.11292758216567565,-0.04168106878358073,-0.8290622562315134,-0.07368722591450617,-0.03467914654121324,-0.6818249530852618,-0.01821804170512115,A
0.0,0.0,0.0,-0.2752987213447877,-0.1135101545613188,-0.11037301969941453,-0.5208807822999052,-0.45068196559142193,-0.15500031337694517,-0.6407493422837358,-0.8919857646357044,-0.19048627378959182,-0.6240723775835396,-1.2150224224870285,-0.1939356987271265,-0.45752407301948533,-0.8853772547635796,-0.006712189389485822,-0.48957445802849464,-1.1660648516319543,-0.11014439296941203,-0.41503207734358205,-0.8397759605700873,-0.14237393092198475,-0.380904324776087,-0.624283465739013,-0.1436153556206952,-0.30307632193660816,-0.952946223184382,0.006183752905750087,-0.3496150076072501,-1.2412473746556514,-0.11390587791818729,-0.2890617191025426,-0.8219505162372681,-0.12897355335311256,-0.27000000847528627,-0.655101586124779,-0.10540824316473077,-0.15150577244207922,-0.965432062570188,-0.00473042523383516,-0.1927855118507082,-1.2012680533327853,-0.13467072950543182,-0.1610007377671879,-0.7970276078333307,-0.08657373679841977,-0.151105855427148,-0.61300750662821,-0.015592054083827498,0.006908635211660455,-0.91784706493459,-0.025062036319149068,-0.038624130362637926,-1.125056100394481,-0.10607434947169074,-0.0398261323474781,-0.8374770004692444,-0.06644068812971797,-0.035602618506863026,-0.6854352541916445,-0.011637586197001608,A
0.0,0.0,0.0,-0.27666439711164026,-0.11095549543027833,-0.11630652494578163,-0.5247021135042407,-0.44164983990340245,-0.1643718922928601,-0.647832093141517,-0.8844142452623751,-0.20261863457977441,-0.6355958287226152,-1.2114092158631138,-0.20815300682776716,-0.4606140954806911,-0.8856803613602073,-0.011296887328256008,-0.49534592195647564,-1.1626696719536354,-0.1208973147787511,-0.42217167382872645,-0.8273767363197632,-0.15501642969887663,-0.3843107426610479,-0.6209052508242868,-0.15669269075451087,-0.3058470997378142,-0.9520763115855909,0.002872020115583931,-0.35387554080007366,-1.2414439810852995,-0.12449361656290923,-0.2953853143032671,-0.8142561322961815,-0.13941747780220692,-0.27477896590998896,-0.6602118389505137,-0.11414777934748865,-0.15309968651386544,-0.9656949397663561,-0.008045804640973257,-0.19383276712474418,-1.2027221615770516,-0.1448511262404351,-0.16389558942095345,-0.7880015595501165,-0.09503298966458802,-0.1546356182310325,-0.6144110158146135,-0.02142110477874604,0.0036697445870845645,-0.9203652853077711,-0.02900996654741186,-0.03839577128787406,-1.1242746571581521,-0.11296336442784762,-0.0427216469417898,-0.8255591372691409,-0.07257187165186749,-0.040335165613392336,-0.6765508137680871,-0.01674929933881448,A
0.0,0.0,0.0,-0.272801764981234,-0.10431098861149973,-0.12245734450185569,-0.5252941350270232,-0.441492422563162,-0.17429136792336344,-0.6496694621888159,-0.8824558665647606,-0.2148318583673803,-0.6307975967794519,-1.2112054428151664,-0.22277469166667616,-0.4634801130302846,-0.8867081374539696,-0.028397819556508413,-0.49773955090008876,-1.167578592125921,-0.140355759069211,-0.42347939019053477,-0.8314260921415745,-0.1732826870712983,-0.3854971647436209,-0.6262929506223215,-0.1740673690996289,-0.30688327828715356,-0.9516637267857947,-0.012601770824051105,-0.35181087110726633,-1.2446880696103084,-0.14178775211285166,-0.2927684343028414,-0.8154668896992922,-0.15542415568300172,-0.2736343509901069,-0.6569058182459283,-0.12889473566781856,-0.15131663938767795,-0.9668940694543198,-0.02164162519175263,-0.19041461589407266,-1.2062757967068563,-0.16112783673802702,-0.1591513772050322,-0.7853845148888563,-0.11188631459606123,-0.1520444896603635,-0.6084989799822501,-0.03800446835648506,0.0051691502375676235,-0.92444429701466,-0.040874890013098436,-0.035678291626058733,-1.1295200231604607,-0.1284576926843227,-0.038541993791163694,-0.8277323277202758,-0.08974151263793044,-0.03767104674156669,-0.6765898272674636,-0.03446104861432347,A
0.0,0.0,0.0,-0.2346534533596876,-0.24730712081048303,-0.10071010435167554,-0.4108506144014523,-0.6335434170383147,-0.1501616205223885,-0.4566536962529042,-1.025798996541215,-0.19310148136999952,-0.38905326184958594,-1.298133549354587,-0.21035833763983303,-0.24813243450037042,-0.9806626548190798,-0.0508416435377875,-0.3249219096989574,-1.176379330047681,-0.16464838062524018,-0.29734062079909435,-0.8315921975204696,-0.21696604535562225,-0.2548866628151741,-0.5941870130513375,-0.236139279670636,-0.11040695579352201,-0.9929004665346606,-0.044260226701412095,-0.19639723913373136,-1.196215534371335,-0.18332428746845286,-0.16853639007340948,-0.7776591360455729,-0.22100433014588686,-0.12220240668307243,-0.5516077271164473,-0.2182190249693582,0.031644793512531175,-0.9768488921397026,-0.05662326997283192,-0.05733073992689708,-1.1929578073686857,-0.18096577708940437,-0.04854498779792155,-0.7981617377603001,-0.1559752322899517,-0.016172675240927088,-0.5516401730034806,-0.11083204294333028,0.17453488056171745,-0.9063788246712416,-0.08002248824898231,0.0893865908392365,-1.1103760558581814,-0.17363166422844262,0.06670120349895726,-0.8324420741177941,-0.16208124262133763,0.08467051261130862,-0.6360472341517659,-0.12971886947339914,A
0.0,0.0,0.0,-0.2362389445059435,-0.2395056878846076,-0.09245421866499404,-0.4188863137986518,-0.6190056506332167,-0.1325165859507739,-0.4831896792036088,-1.0326052759349755,-0.1692294273110523,-0.49657210047439265,-1.3577006958311737,-0.1809473519142855,-0.3183613899266096,-0.9756465657948333,-0.012150690696607158,-0.32120473764780993,-1.238741388905805,-0.118638481410541,-0.2721580089650617,-0.9144470623796352,-0.17056090470298027,-0.2427189370810539,-0.6379598628025342,-0.18598526547689037,-0.1588976315775783,-0.9872681169105957,-0.007294382142617275,-0.17612179871481146,-1.2657692645002958,-0.14272499408869446,-0.14894579461126461,-0.8556149763828566,-0.183292040302368,-0.1298289409372669,-0.5912661584846939,-0.17817679406266687,-0.01222234115775558,-0.9489467318782926,-0.020998676974506157,-0.02904902013384565,-1.192657950056853,-0.1473085369432576,-0.03064928780010122,-0.8224003666785524,-0.1144277111455441,-0.028265558254368706,-0.5693337836596182,-0.05673653326473346,0.131861000208868,-0.8581196075780858,-0.04360143637831349,0.0964104296415497,-1.0696267283509633,-0.12635994231845815,0.07193048434493532,-0.8108609759099183,-0.09627301060964523,0.06840082785546081,-0.6275251388909091,-0.04976171200772628,A
0.0,0.0,0.0,-0.25119996971843894,-0.2247703210558024,-0.10217108039050955,-0.46575220496360187,-0.5676884079128849,-0.15631210368588375,-0.5415514265461736,-0.9950408947828231,-0.20571299074300564,-0.4756852043423393,-1.280167298513368,-0.23055782245158388,-0.33712056366456655,-0.9467621622511933,-0.01501760446216498,-0.35318142812870884,-1.1857332794076318,-0.12304738721374045,-0.3099512064517893,-0.884640427428506,-0.18296314803646999,-0.2737128386357651,-0.620660729029049,-0.2076221767879952,-0.18682051575575698,-0.9823831490956326,-0.0046306873896986315,-0.22393987186053574,-1.2439798143755603,-0.13498881303922544,-0.19186041199225923,-0.8522768000209363,-0.17684092552599145,-0.16681783172271267,-0.5932616486640542,-0.17520203748497998,-0.046442670237530626,-0.9766026254163808,-0.01515585921348926,-0.09117688939201885,-1.2062507730247958,-0.14134331437198996,-0.0843345853032172,-0.8298337669418843,-0.11956922075449862,-0.07348361220821821,-0.5746069800882228,-0.07030061833881153,0.08847098038204756,-0.9065312060496269,-0.03591803311373479,0.021231013727951904,-1.0824065622179757,-0.12775811888850888,0.004455021090956191,-0.8131666630790397,-0.11405374734096638,0.013744565920332073,-0.6203972365734554,-0.07841897710739396,A
